Dates,2yrTreasury
01/01/1999,4.542
04/01/1999,4.575
05/01/1999,4.641
06/01/1999,4.625
07/01/1999,4.624
08/01/1999,4.742
11/01/1999,4.742
12/01/1999,4.675
13/01/1999,4.557
14/01/1999,4.456
15/01/1999,4.564
18/01/1999,4.573
19/01/1999,4.607
20/01/1999,4.658
21/01/1999,4.606
22/01/1999,4.555
25/01/1999,4.606
26/01/1999,4.623
27/01/1999,4.589
28/01/1999,4.566
29/01/1999,4.566
01/02/1999,4.641
02/02/1999,4.699
03/02/1999,4.704
04/02/1999,4.75
05/02/1999,4.784
08/02/1999,4.784
09/02/1999,4.751
10/02/1999,4.785
11/02/1999,4.815
12/02/1999,4.906
15/02/1999,4.906
16/02/1999,4.902
17/02/1999,4.868
18/02/1999,4.907
19/02/1999,4.96
22/02/1999,4.892
23/02/1999,4.996
24/02/1999,5.079
25/02/1999,5.188
26/02/1999,5.15
01/03/1999,5.2
02/03/1999,5.133
03/03/1999,5.167
04/03/1999,5.201
05/03/1999,5.117
08/03/1999,5.092
09/03/1999,5.008
10/03/1999,5.024
11/03/1999,5.041
12/03/1999,4.982
15/03/1999,4.982
16/03/1999,4.964
17/03/1999,4.982
18/03/1999,4.973
19/03/1999,5.024
22/03/1999,5.058
23/03/1999,4.981
24/03/1999,4.981
25/03/1999,5.025
26/03/1999,4.975
29/03/1999,5.004
30/03/1999,4.941
31/03/1999,4.941
01/04/1999,5
02/04/1999,5
05/04/1999,4.941
06/04/1999,4.904
07/04/1999,4.904
08/04/1999,4.858
09/04/1999,4.857
12/04/1999,4.904
13/04/1999,4.916
14/04/1999,4.942
15/04/1999,4.95
16/04/1999,4.993
19/04/1999,4.933
20/04/1999,4.937
21/04/1999,4.959
22/04/1999,5.027
23/04/1999,5.028
26/04/1999,5.006
27/04/1999,5.002
28/04/1999,5.033
29/04/1999,4.959
30/04/1999,5.067
03/05/1999,5.062
04/05/1999,5.096
05/05/1999,5.083
06/05/1999,5.167
07/05/1999,5.168
10/05/1999,5.147
11/05/1999,5.168
12/05/1999,5.168
13/05/1999,5.117
14/05/1999,5.288
17/05/1999,5.28
18/05/1999,5.349
19/05/1999,5.341
20/05/1999,5.341
21/05/1999,5.256
24/05/1999,5.239
25/05/1999,5.257
26/05/1999,5.339
27/05/1999,5.426
28/05/1999,5.4
31/05/1999,5.4
01/06/1999,5.526
02/06/1999,5.518
03/06/1999,5.531
04/06/1999,5.545
07/06/1999,5.536
08/06/1999,5.554
09/06/1999,5.588
10/06/1999,5.648
11/06/1999,5.692
14/06/1999,5.641
15/06/1999,5.642
16/06/1999,5.573
17/06/1999,5.488
18/06/1999,5.553
21/06/1999,5.592
22/06/1999,5.636
23/06/1999,5.68
24/06/1999,5.721
25/06/1999,5.721
28/06/1999,5.666
29/06/1999,5.683
30/06/1999,5.516
01/07/1999,5.578
02/07/1999,5.564
05/07/1999,5.564
06/07/1999,5.602
07/07/1999,5.605
08/07/1999,5.558
09/07/1999,5.579
12/07/1999,5.506
13/07/1999,5.493
14/07/1999,5.527
15/07/1999,5.526
16/07/1999,5.465
19/07/1999,5.439
20/07/1999,5.4
21/07/1999,5.404
22/07/1999,5.506
23/07/1999,5.557
26/07/1999,5.565
27/07/1999,5.548
28/07/1999,5.556
29/07/1999,5.617
30/07/1999,5.626
02/08/1999,5.651
03/08/1999,5.655
04/08/1999,5.609
05/08/1999,5.529
06/08/1999,5.681
09/08/1999,5.775
10/08/1999,5.771
11/08/1999,5.737
12/08/1999,5.754
13/08/1999,5.704
16/08/1999,5.717
17/08/1999,5.669
18/08/1999,5.631
19/08/1999,5.631
20/08/1999,5.618
23/08/1999,5.653
24/08/1999,5.597
25/08/1999,5.523
26/08/1999,5.567
27/08/1999,5.663
30/08/1999,5.731
31/08/1999,5.722
01/09/1999,5.718
02/09/1999,5.718
03/09/1999,5.626
06/09/1999,5.626
07/09/1999,5.668
08/09/1999,5.656
09/09/1999,5.686
10/09/1999,5.635
13/09/1999,5.639
14/09/1999,5.682
15/09/1999,5.635
16/09/1999,5.614
17/09/1999,5.601
20/09/1999,5.636
21/09/1999,5.648
22/09/1999,5.636
23/09/1999,5.545
24/09/1999,5.532
27/09/1999,5.584
28/09/1999,5.641
29/09/1999,5.685
30/09/1999,5.6
01/10/1999,5.625
04/10/1999,5.624
05/10/1999,5.624
06/10/1999,5.798
07/10/1999,5.798
08/10/1999,5.777
11/10/1999,5.807
12/10/1999,5.683
13/10/1999,5.683
14/10/1999,5.683
