Dates,
1999-01-01,4.37
1999-01-04,4.38
1999-01-05,4.37
1999-01-06,4.36
1999-01-07,4.33
1999-01-08,4.37
1999-01-11,4.39
1999-01-12,4.37
1999-01-13,4.34
1999-01-14,4.33
1999-01-15,4.33
1999-01-18,4.33
1999-01-19,4.29
1999-01-20,4.26
1999-01-21,4.22
1999-01-22,4.26
1999-01-25,4.31
1999-01-26,4.35
1999-01-27,4.36
1999-01-28,4.38
1999-01-29,4.37
1999-02-01,4.42
1999-02-02,4.42
1999-02-03,4.37
1999-02-04,4.38
1999-02-05,4.39
1999-02-08,4.4
1999-02-09,4.42
1999-02-10,4.37
1999-02-11,4.39
1999-02-12,4.43
1999-02-15,4.43
1999-02-16,4.41
1999-02-17,4.41
1999-02-18,4.42
1999-02-19,4.45
1999-02-22,4.5
1999-02-23,4.54
1999-02-24,4.55
1999-02-25,4.51
1999-02-26,4.55
1999-03-01,4.58
1999-03-02,4.53
1999-03-03,4.49
1999-03-04,4.49
1999-03-05,4.5
1999-03-08,4.51
1999-03-09,4.47
1999-03-10,4.47
1999-03-11,4.49
1999-03-12,4.47
1999-03-15,4.46
1999-03-16,4.43
1999-03-17,4.41
1999-03-18,4.39
1999-03-19,4.39
1999-03-22,4.4
1999-03-23,4.38
1999-03-24,4.38
1999-03-25,4.39
1999-03-26,4.39
1999-03-29,4.39
1999-03-30,4.36
1999-03-31,4.37
1999-04-01,4.32
1999-04-02,4.31
1999-04-05,4.29
1999-04-06,4.3
1999-04-07,4.3
1999-04-08,4.28
1999-04-09,4.3
1999-04-12,4.22
1999-04-13,4.2
1999-04-14,4.18
1999-04-15,4.2
1999-04-16,4.22
1999-04-19,4.22
1999-04-20,4.26
1999-04-21,4.24
1999-04-22,4.28
1999-04-23,4.31
1999-04-26,4.35
1999-04-27,4.38
1999-04-28,4.39
1999-04-29,4.39
1999-04-30,4.43
1999-05-03,4.47
1999-05-04,4.5
1999-05-05,4.48
1999-05-06,4.49
1999-05-07,4.49
1999-05-10,4.47
1999-05-11,4.49
1999-05-12,4.47
1999-05-13,4.46
1999-05-14,4.51
1999-05-17,4.55
1999-05-18,4.53
1999-05-19,4.5
1999-05-20,4.48
1999-05-21,4.48
1999-05-24,4.51
1999-05-25,4.51
1999-05-26,4.53
1999-05-27,4.52
1999-05-28,4.53
1999-05-31,4.53
1999-06-01,4.56
1999-06-02,4.61
1999-06-03,4.52
1999-06-04,4.44
1999-06-07,4.4
1999-06-08,4.49
1999-06-09,4.47
1999-06-10,4.54
1999-06-11,4.6
1999-06-14,4.57
1999-06-15,4.61
1999-06-16,4.54
1999-06-17,4.51
1999-06-18,4.55
1999-06-21,4.57
1999-06-22,4.6
1999-06-23,4.6
1999-06-24,4.6
1999-06-25,4.66
1999-06-28,4.68
1999-06-29,4.7
1999-06-30,4.65
1999-07-01,4.55
1999-07-02,4.55
1999-07-05,4.55
1999-07-06,4.53
1999-07-07,4.54
1999-07-08,4.55
1999-07-09,4.56
1999-07-12,4.57
1999-07-13,4.58
1999-07-14,4.59
1999-07-15,4.57
1999-07-16,4.55
1999-07-19,4.52
1999-07-20,4.51
1999-07-21,4.46
1999-07-22,4.48
1999-07-23,4.52
1999-07-26,4.58
1999-07-27,4.57
1999-07-28,4.58
1999-07-29,4.59
1999-07-30,4.62
1999-08-02,4.65
1999-08-03,4.7
1999-08-04,4.65
1999-08-05,4.61
1999-08-06,4.66
1999-08-09,4.76
1999-08-10,4.81
1999-08-11,4.77
1999-08-12,4.66
1999-08-13,4.6
1999-08-16,4.62
1999-08-17,4.69
1999-08-18,4.63
1999-08-19,4.62
1999-08-20,4.7
1999-08-23,4.78
1999-08-24,4.85
1999-08-25,4.79
1999-08-26,4.79
1999-08-27,4.84
1999-08-30,4.85
1999-08-31,4.84
1999-09-01,4.83
1999-09-02,4.78
1999-09-03,4.78
1999-09-06,4.78
1999-09-07,4.69
1999-09-08,4.69
1999-09-09,4.68
1999-09-10,4.62
1999-09-13,4.64
1999-09-14,4.69
1999-09-15,4.62
1999-09-16,4.57
1999-09-17,4.54
1999-09-20,4.56
1999-09-21,4.66
1999-09-22,4.69
1999-09-23,4.69
1999-09-24,4.65
1999-09-27,4.68
1999-09-28,4.71
1999-09-29,4.69
1999-09-30,4.74
1999-10-01,4.74
1999-10-04,4.69
1999-10-05,4.72
1999-10-06,4.68
1999-10-07,4.7
1999-10-08,4.68
1999-10-11,4.68
1999-10-12,4.73
1999-10-13,4.84
1999-10-14,4.88
1999-10-15,4.9
1999-10-18,4.94
1999-10-19,5.0
1999-10-20,5.0
1999-10-21,4.99
1999-10-22,4.92
1999-10-25,4.89
1999-10-26,5.0
1999-10-27,4.99
1999-10-28,4.96
1999-10-29,4.97
1999-11-01,4.98
1999-11-02,4.99
1999-11-03,4.97
1999-11-04,4.95
1999-11-05,4.99
1999-11-08,5.04
1999-11-09,5.04
1999-11-10,5.05
1999-11-11,5.05
1999-11-12,5.08
1999-11-15,5.12
1999-11-16,5.14
1999-11-17,5.09
1999-11-18,5.08
1999-11-19,5.08
1999-11-22,5.08
1999-11-23,5.13
1999-11-24,5.14
1999-11-25,5.14
