Dates,FedFundRate
31/01/1999,0.0475
26/02/1999,0.0475
31/03/1999,0.0475
30/04/1999,0.0475
31/05/1999,0.0475
30/06/1999,0.05
30/07/1999,0.05
31/08/1999,0.0525
30/09/1999,0.0525
29/10/1999,0.0525
30/11/1999,0.055
31/12/1999,0.055
31/01/2000,0.055
29/02/2000,0.0575
31/03/2000,0.06
28/04/2000,0.06
31/05/2000,0.065
30/06/2000,0.065
31/07/2000,0.065
31/08/2000,0.065
29/09/2000,0.065
31/10/2000,0.065
30/11/2000,0.065
29/12/2000,0.065
31/01/2001,0.055
28/02/2001,0.055
30/03/2001,0.05
30/04/2001,0.045
31/05/2001,0.04
29/06/2001,0.0375
31/07/2001,0.0375
31/08/2001,0.035
28/09/2001,0.03
31/10/2001,0.025
30/11/2001,0.02
31/12/2001,0.0175
31/01/2002,0.0175
28/02/2002,0.0175
29/03/2002,0.0175
30/04/2002,0.0175
31/05/2002,0.0175
28/06/2002,0.0175
31/07/2002,0.0175
30/08/2002,0.0175
30/09/2002,0.0175
31/10/2002,0.0175
29/11/2002,0.0125
31/12/2002,0.0125
31/01/2003,0.0125
28/02/2003,0.0125
31/03/2003,0.0125
30/04/2003,0.0125
30/05/2003,0.0125
30/06/2003,0.01
31/07/2003,0.01
29/08/2003,0.01
30/09/2003,0.01
31/10/2003,0.01
28/11/2003,0.01
31/12/2003,0.01
30/01/2004,0.01
27/02/2004,0.01
31/03/2004,0.01
30/04/2004,0.01
31/05/2004,0.01
30/06/2004,0.0125
30/07/2004,0.0125
31/08/2004,0.015
30/09/2004,0.0175
29/10/2004,0.0175
30/11/2004,0.02
31/12/2004,0.0225
31/01/2005,0.0225
28/02/2005,0.025
31/03/2005,0.0275
29/04/2005,0.0275
31/05/2005,0.03
30/06/2005,0.0325
29/07/2005,0.0325
31/08/2005,0.035
30/09/2005,0.0375
31/10/2005,0.0375
30/11/2005,0.04
30/12/2005,0.0425
31/01/2006,0.045
28/02/2006,0.045
31/03/2006,0.0475
28/04/2006,0.0475
31/05/2006,0.05
30/06/2006,0.0525
31/07/2006,0.0525
31/08/2006,0.0525
29/09/2006,0.0525
31/10/2006,0.0525
30/11/2006,0.0525
29/12/2006,0.0525
31/01/2007,0.0525
28/02/2007,0.0525
30/03/2007,0.0525
30/04/2007,0.0525
31/05/2007,0.0525
29/06/2007,0.0525
31/07/2007,0.0525
31/08/2007,0.0525
28/09/2007,0.0475
31/10/2007,0.045
30/11/2007,0.045
31/12/2007,0.0425
31/01/2008,0.03
29/02/2008,0.03
31/03/2008,0.0225
30/04/2008,0.02
30/05/2008,0.02
30/06/2008,0.02
31/07/2008,0.02
29/08/2008,0.02
30/09/2008,0.02
31/10/2008,0.01
28/11/2008,0.01
31/12/2008,0.0025
30/01/2009,0.0025
27/02/2009,0.0025
31/03/2009,0.0025
30/04/2009,0.0025
29/05/2009,0.0025
30/06/2009,0.0025
31/07/2009,0.0025
31/08/2009,0.0025
30/09/2009,0.0025
30/10/2009,0.0025
30/11/2009,0.0025
31/12/2009,0.0025
29/01/2010,0.0025
26/02/2010,0.0025
31/03/2010,0.0025
30/04/2010,0.0025
31/05/2010,0.0025
30/06/2010,0.0025
30/07/2010,0.0025
31/08/2010,0.0025
30/09/2010,0.0025
29/10/2010,0.0025
30/11/2010,0.0025
31/12/2010,0.0025
31/01/2011,0.0025
28/02/2011,0.0025
31/03/2011,0.0025
29/04/2011,0.0025
31/05/2011,0.0025
30/06/2011,0.0025
29/07/2011,0.0025
31/08/2011,0.0025
30/09/2011,0.0025
