Dates,Open,High,Low,Close,Volume,MarketValue,DividendYield,PriceToEarnings,EPS,PriceToCash,PriceToBook
02/01/1999,0.0396,0.0406,0.0396,0.0404,154703.9,553.45,0,,,11.96,4.83
03/01/1999,0.0469,0.0479,0.0437,0.046,92160,630.22,0,,,13.62,5.5
04/01/1999,0.044,0.0443,0.0419,0.0427,30432,585.58,0,,,12.65,5.11
06/01/1999,0.0354,0.0357,0.0349,0.0357,98543.9,501.92,0,30.6,0,10.57,4.27
07/01/1999,0.0398,0.0398,0.0357,0.0378,88991.9,533.38,0,32.4,0,11.19,4.52
09/01/1999,0.0586,0.0586,0.0549,0.0559,565343.9,789.04,0,18.2,0,16.55,6.69
10/01/1999,0.0395,0.0409,0.0378,0.0398,347759.9,565.3,0,13,0,11.8,4.77
11/01/1999,0.0453,0.0508,0.0453,0.049,782543.9,694.61,0,16,0,14.5,5.86
12/01/1999,0.0721,0.0768,0.0721,0.0758,223535.9,1075.17,0,27.3,0,22.45,9.07
22/01/1999,,0.0488,0.0388,0.041,2714686,562.36,0,,,50.55,8.81
25/01/1999,0.0443,0.0458,0.041,0.0453,510479.9,621.29,0,,,55.85,9.73
26/01/1999,0.0458,0.0467,0.0411,0.0418,343199.9,573.09,0,,,51.52,8.97
27/01/1999,0.0419,0.043,0.0396,0.0417,244367.9,571.3,0,,,51.36,8.95
28/01/1999,0.0417,0.0419,0.0413,0.0415,227519.9,569.51,0,,,51.2,8.92
29/01/1999,0.0415,0.0417,0.0396,0.0396,244031.9,542.73,0,,,48.79,8.5
02/02/1999,0.0396,0.0406,0.0361,0.0372,264095.9,510.6,0,,,11.03,4.46
03/02/1999,0.0458,0.0461,0.0448,0.0456,55248,624.86,0,,,13.5,5.46
06/02/1999,0.0357,0.0357,0.0344,0.0344,130127.9,483.6,0,29.5,0,10.18,4.12
07/02/1999,0.0383,0.0405,0.0375,0.0405,224879.9,572.01,0,34.7,0,12,4.85
08/02/1999,0.0419,0.0424,0.0417,0.0423,313343.8,597.76,0,36.3,0,12.54,5.07
09/02/1999,0.054,0.0555,0.0529,0.0552,341087.9,779.84,0,18,0,16.36,6.61
11/02/1999,0.0499,0.0523,0.0495,0.0521,837503.9,738.95,0,17,0,15.43,6.24
12/02/1999,0.076,0.0824,0.076,0.0814,309887.9,1154.61,0,29.4,0,24.11,9.74
16/02/1999,0.0443,0.0461,0.0393,0.0437,211007.9,599.86,0,,,12.96,5.24
17/02/1999,0.0427,0.0432,0.0406,0.0414,67727.9,567.73,0,,,12.27,4.96
18/02/1999,0.0427,0.0432,0.0409,0.0421,70703.9,576.66,0,,,12.46,5.03
19/02/1999,0.0417,0.0443,0.0411,0.0435,75359.9,596.29,0,,,12.88,5.21
22/02/1999,0.0443,0.0448,0.0414,0.0437,205247.8,599.86,0,,,12.96,5.24
23/02/1999,0.0448,0.0467,0.0422,0.0458,138095.9,628.43,0,,,13.58,5.49
24/02/1999,0.0526,0.0547,0.0483,0.0495,612767.9,678.42,0,,,14.66,5.92
25/02/1999,0.0516,0.0531,0.0471,0.0479,149135.9,656.99,0,,,14.2,5.74
26/02/1999,0.0484,0.05,0.0453,0.0457,172607.8,626.64,0,,,13.54,5.47
02/03/1999,0.0367,0.0385,0.0365,0.038,75119.9,521.31,0,,,11.26,4.55
03/03/1999,0.0458,0.0458,0.0422,0.0424,61392,582.01,0,,,12.58,5.08
05/03/1999,0.0384,0.0384,0.0372,0.0383,33840,524.88,0,,,11.34,4.58
06/03/1999,0.0353,0.0355,0.0349,0.0353,41568,496.42,0,30.2,0,10.45,4.22
08/03/1999,0.0423,0.0423,0.0409,0.0413,255215.9,583.04,0,35.4,0,12.23,4.94
09/03/1999,0.0562,0.057,0.0552,0.0556,258863.8,785.36,0,18.2,0,16.47,6.66
11/03/1999,0.0542,0.0586,0.0538,0.0572,2011679,811,0,18.7,0,16.93,6.84
12/03/1999,0.0822,0.0836,0.0784,0.0794,342767.9,1126.9,0,28.7,0,23.53,9.51
15/03/1999,0.0435,0.0448,0.0432,0.0443,108815.9,607.01,0,,,13.12,5.3
16/03/1999,0.0445,0.0451,0.0424,0.0428,79151.9,587.37,0,,,12.69,5.13
17/03/1999,0.0432,0.044,0.0421,0.0431,51360,590.94,0,,,12.77,5.16
18/03/1999,0.0432,0.0443,0.0422,0.0436,46320,598.08,0,,,12.92,5.22
19/03/1999,0.0435,0.0451,0.0435,0.0437,105311.9,599.86,0,,,12.96,5.24
22/03/1999,0.0447,0.0448,0.0424,0.0424,36672,582.01,0,,,12.58,5.08
23/03/1999,0.0427,0.0427,0.0391,0.0398,163967.9,546.31,0,,,11.8,4.77
24/03/1999,0.0396,0.0398,0.038,0.0396,60864,542.73,0,,,11.73,4.74
25/03/1999,0.0395,0.0417,0.0393,0.0401,40320,549.88,0,,,11.88,4.8
26/03/1999,0.0406,0.0437,0.0406,0.0436,88271.9,598.08,0,,,12.92,5.22
29/03/1999,0.0449,0.046,0.0441,0.0449,65951.9,615.93,0,,,13.31,5.38
30/03/1999,0.0451,0.0454,0.0409,0.0411,69503.9,564.16,0,,,12.19,4.93
31/03/1999,0.0424,0.0445,0.0405,0.044,153600,603.44,0,,,13.04,5.27
02/04/1999,0.0385,0.0411,0.038,0.0401,181919.9,549.88,0,,,11.88,4.8
03/04/1999,0.0445,0.0448,0.0411,0.0415,57360,569.51,0,,,12.31,4.97
05/04/1999,0.0383,0.0383,0.0354,0.0362,96047.9,509.24,0,,,10.72,4.33
06/04/1999,0.0355,0.0357,0.0353,0.0355,78911.9,500.08,0,30.5,0,10.53,4.26
08/04/1999,0.0415,0.0417,0.0411,0.0413,89951.9,583.04,0,35.4,0,12.23,4.94
10/04/1999,0.0411,0.0413,0.0401,0.0406,177599.9,576.38,0,13.3,0,12.04,4.86
11/04/1999,0.0578,0.0624,0.0578,0.0608,1260335,862.72,0,19.9,0,18.01,7.28
13/04/1999,0.0427,0.0427,0.0396,0.0402,36144,551.66,0,,,11.92,4.82
14/04/1999,0.0401,0.041,0.0391,0.0391,48288,535.59,0,,,11.57,4.68
15/04/1999,0.0401,0.0401,0.0391,0.0401,35856,549.88,0,,,11.88,4.8
16/04/1999,0.0398,0.0421,0.0398,0.0414,38928,567.73,0,,,12.27,4.96
19/04/1999,0.0419,0.0419,0.0391,0.0396,31296,542.73,0,,,11.73,4.74
20/04/1999,0.0396,0.0411,0.0384,0.0388,67679.9,532.02,0,,,11.5,4.65
21/04/1999,0.0388,0.0396,0.0385,0.0395,37488,540.95,0,,,11.69,4.72
22/04/1999,0.0396,0.0396,0.0374,0.0378,227183.9,517.74,0,,,11.19,4.52
23/04/1999,0.0376,0.0378,0.0357,0.0359,126047.9,492.75,0,,,10.65,4.3
26/04/1999,0.0359,0.0365,0.0333,0.0341,123503.9,467.75,0,,,10.11,4.08
27/04/1999,0.0349,0.038,0.0344,0.0378,226943.9,517.74,0,,,11.19,4.52
28/04/1999,0.038,0.038,0.0363,0.0375,120095.9,514.17,0,,,11.11,4.49
29/04/1999,0.0376,0.0378,0.0367,0.0375,48144,514.17,0,,,11.11,4.49
30/04/1999,0.0379,0.0396,0.0376,0.038,99311.9,521.31,0,,,11.26,4.55
02/05/1999,0.0408,0.0417,0.0397,0.0413,136847.9,565.94,0,,,12.23,4.94
03/05/1999,0.0419,0.044,0.0419,0.0439,78767.9,601.65,0,,,13,5.25
04/05/1999,0.0422,0.0432,0.0411,0.0414,98639.9,567.73,0,,,12.27,4.96
05/05/1999,0.0365,0.037,0.0344,0.037,144575.9,520.23,0,,,10.96,4.43
08/05/1999,0.0413,0.0419,0.0406,0.0419,240575.9,592.24,0,35.9,0,12.42,5.02
10/05/1999,0.0406,0.0448,0.0406,0.0445,478079.9,631.8,0,14.5,0,13.19,5.33
11/05/1999,0.0625,0.063,0.056,0.0589,616367.9,835.01,0,19.2,0,17.44,7.05
13/05/1999,0.0396,0.0406,0.0395,0.0396,69935.9,556.87,0,,,11.73,4.74
14/05/1999,0.0396,0.0396,0.037,0.0375,28464,527.56,0,,,11.11,4.49
17/05/1999,0.037,0.0393,0.0368,0.0393,35760,553.21,0,,,11.65,4.71
18/05/1999,0.0397,0.0417,0.0385,0.0411,151535.9,578.85,0,,,12.19,4.93
19/05/1999,0.043,0.0445,0.0387,0.0393,451727.9,553.21,0,33.7,0,11.65,4.71
20/05/1999,0.0396,0.0396,0.0348,0.0362,178175.9,509.24,0,31,0,10.72,4.33
21/05/1999,0.0357,0.0357,0.0344,0.0354,303503.9,498.25,0,30.4,0,10.49,4.24
24/05/1999,0.0357,0.0365,0.0348,0.0353,162623.8,496.42,0,30.2,0,10.45,4.22
25/05/1999,0.0354,0.0359,0.0352,0.0355,130079.9,500.08,0,30.5,0,10.53,4.26
26/05/1999,0.0354,0.0372,0.0354,0.0354,104735.9,498.25,0,30.4,0,10.49,4.24
27/05/1999,0.0357,0.0357,0.0352,0.0352,82319.9,494.59,0,30.1,0,10.42,4.21
28/05/1999,0.0357,0.0357,0.0352,0.0355,88655.9,500.08,0,30.5,0,10.53,4.26
04/06/1999,0.0418,0.0419,0.0396,0.0404,69695.9,553.45,0,,,11.96,4.83
05/06/1999,0.0367,0.0375,0.0352,0.0363,35616,510.16,0,,,10.74,4.34
07/06/1999,0.0409,0.0409,0.0401,0.0406,198095.9,573.85,0,34.8,0,12.04,4.86
08/06/1999,0.0418,0.0421,0.0417,0.0419,183983.8,592.24,0,35.9,0,12.42,5.02
10/06/1999,0.0447,0.0521,0.0443,0.0499,1508735,707.54,0,16.3,0,14.77,5.97
12/06/1999,0.0797,0.082,0.0797,0.0816,178607.9,1158.3,0,29.5,0,24.19,9.77
14/06/1999,0.0369,0.037,0.0352,0.0354,51648,498.25,0,30.4,0,10.49,4.24
15/06/1999,0.0354,0.0357,0.0349,0.0354,49296,498.25,0,30.4,0,10.49,4.24
16/06/1999,0.0359,0.0375,0.0354,0.0365,64416,512.91,0,31.3,0,10.8,4.36
17/06/1999,0.0362,0.0367,0.0354,0.0354,74927.9,498.25,0,30.4,0,10.49,4.24
18/06/1999,0.0357,0.0357,0.0341,0.0341,158735.9,481.88,0,29.2,0,10.11,4.08
21/06/1999,0.0352,0.0359,0.0342,0.0359,83471.9,507.63,0,30.8,0,10.65,4.3
22/06/1999,0.0359,0.0359,0.0345,0.0353,193055.9,498.44,0,30.2,0,10.45,4.22
23/06/1999,0.0349,0.0359,0.0345,0.0359,210911.9,507.63,0,30.8,0,10.65,4.3
24/06/1999,0.0362,0.0362,0.0349,0.0352,115199.9,496.6,0,30.1,0,10.42,4.21
25/06/1999,0.0349,0.0361,0.0349,0.0357,73535.9,503.95,0,30.6,0,10.57,4.27
28/06/1999,0.0368,0.0368,0.0354,0.0362,109151.9,511.31,0,31,0,10.72,4.33
29/06/1999,0.0367,0.0371,0.0362,0.0366,92687.9,516.83,0,31.4,0,10.84,4.38
30/06/1999,0.0378,0.0398,0.037,0.0398,269231.9,562.81,0,34.2,0,11.8,4.77
04/07/1999,0.0406,0.044,0.0404,0.0437,89279.9,599.86,0,,,12.96,5.24
05/07/1999,0.0352,0.0367,0.0352,0.0365,25008,512.91,0,,,10.8,4.36
06/07/1999,0.0357,0.0365,0.0357,0.0359,125135.9,505.58,0,30.8,0,10.65,4.3
07/07/1999,0.0409,0.0409,0.0398,0.0398,63120,562.81,0,34.2,0,11.8,4.77
09/07/1999,0.0565,0.0565,0.0551,0.0553,124415.9,781.68,0,18.1,0,16.39,6.62
10/07/1999,0.052,0.052,0.0464,0.0466,487295.9,661.36,0,15.2,0,13.81,5.58
12/07/1999,0.0823,0.0824,0.0758,0.0789,186383.8,1119.51,0,28.5,0,23.38,9.45
13/07/1999,0.0467,0.047,0.0443,0.0464,138863.9,654.77,0,39.7,0,13.73,5.55
14/07/1999,0.0464,0.0474,0.0443,0.0445,137951.9,629.02,0,38.2,0,13.19,5.33
15/07/1999,0.0449,0.0464,0.0448,0.0448,137039.9,632.7,0,38.4,0,13.27,5.36
16/07/1999,0.0456,0.0461,0.0448,0.0457,103871.9,645.58,0,39.2,0,13.54,5.47
19/07/1999,0.0458,0.046,0.0443,0.0445,43632,629.02,0,38.2,0,13.19,5.33
20/07/1999,0.0445,0.0445,0.0422,0.0437,178751.9,617.99,0,37.5,0,12.96,5.24
21/07/1999,0.0432,0.0432,0.0411,0.0424,112079.9,599.6,0,36.4,0,12.58,5.08
22/07/1999,0.0422,0.0422,0.0401,0.0405,213263.8,572.01,0,34.7,0,12,4.85
23/07/1999,0.0404,0.0417,0.0404,0.0405,80255.9,572.01,0,34.7,0,12,4.85
26/07/1999,0.0415,0.0415,0.0406,0.0406,61536,573.85,0,34.8,0,12.04,4.86
27/07/1999,0.0406,0.0409,0.0401,0.0408,98591.9,575.69,0,34.9,0,12.07,4.88
28/07/1999,0.0406,0.0419,0.0405,0.0414,244223.9,584.88,0,35.5,0,12.27,4.96
29/07/1999,0.0406,0.0419,0.0404,0.0418,388799.9,590.4,0,35.8,0,12.38,5
30/07/1999,0.0418,0.043,0.0417,0.0419,452303.8,592.24,0,35.9,0,12.42,5.02
02/08/1999,0.0415,0.0417,0.0398,0.0398,154079.9,546.31,0,,,11.8,4.77
