Dates,10yrTreasury
01/01/1999,0.04648
04/01/1999,0.04679
05/01/1999,0.04743
06/01/1999,0.04709
07/01/1999,0.04773
08/01/1999,0.04868
11/01/1999,0.04899
12/01/1999,0.04808
13/01/1999,0.04711
14/01/1999,0.0461
15/01/1999,0.04659
18/01/1999,0.04685
19/01/1999,0.04705
20/01/1999,0.04737
21/01/1999,0.04681
22/01/1999,0.04625
25/01/1999,0.04663
26/01/1999,0.04693
27/01/1999,0.04671
28/01/1999,0.04659
29/01/1999,0.04649
01/02/1999,0.04745
02/02/1999,0.04798
03/02/1999,0.04828
04/02/1999,0.04877
05/02/1999,0.04938
08/02/1999,0.04924
09/02/1999,0.04879
10/02/1999,0.04928
11/02/1999,0.0492
12/02/1999,0.0505
15/02/1999,0.0505
16/02/1999,0.05015
17/02/1999,0.04973
18/02/1999,0.05044
19/02/1999,0.0507
22/02/1999,0.05016
23/02/1999,0.05082
24/02/1999,0.0517
25/02/1999,0.05353
26/02/1999,0.05277
01/03/1999,0.0539
02/03/1999,0.05315
03/03/1999,0.05384
04/03/1999,0.05414
05/03/1999,0.0531
08/03/1999,0.05267
09/03/1999,0.05168
10/03/1999,0.05195
11/03/1999,0.05197
12/03/1999,0.05147
15/03/1999,0.05142
16/03/1999,0.05105
17/03/1999,0.05122
18/03/1999,0.05103
19/03/1999,0.05165
22/03/1999,0.05201
23/03/1999,0.0516
24/03/1999,0.05152
25/03/1999,0.05214
26/03/1999,0.05201
29/03/1999,0.05259
30/03/1999,0.05187
31/03/1999,0.05234
01/04/1999,0.05277
02/04/1999,0.05277
05/04/1999,0.05189
06/04/1999,0.0512
07/04/1999,0.05122
08/04/1999,0.05035
09/04/1999,0.05044
12/04/1999,0.05041
13/04/1999,0.05103
14/04/1999,0.05129
15/04/1999,0.05163
16/04/1999,0.05219
19/04/1999,0.05146
20/04/1999,0.0514
21/04/1999,0.05168
22/04/1999,0.05243
23/04/1999,0.05224
26/04/1999,0.0522
27/04/1999,0.05207
28/04/1999,0.05263
29/04/1999,0.05209
30/04/1999,0.05345
03/05/1999,0.05355
04/05/1999,0.05403
05/05/1999,0.05394
06/05/1999,0.05504
07/05/1999,0.05531
10/05/1999,0.05529
11/05/1999,0.05578
12/05/1999,0.05567
13/05/1999,0.0541
14/05/1999,0.05615
17/05/1999,0.05641
18/05/1999,0.05653
19/05/1999,0.05597
20/05/1999,0.05591
21/05/1999,0.05504
24/05/1999,0.05479
25/05/1999,0.05471
26/05/1999,0.05553
27/05/1999,0.05626
28/05/1999,0.0562
31/05/1999,0.0562
01/06/1999,0.05762
02/06/1999,0.05775
03/06/1999,0.05794
04/06/1999,0.05807
07/06/1999,0.05775
08/06/1999,0.05826
09/06/1999,0.05877
10/06/1999,0.05916
11/06/1999,0.0602
14/06/1999,0.05963
15/06/1999,0.05979
16/06/1999,0.05923
17/06/1999,0.05788
18/06/1999,0.05826
21/06/1999,0.05889
22/06/1999,0.05927
23/06/1999,0.06031
24/06/1999,0.06036
25/06/1999,0.0601
28/06/1999,0.05943
29/06/1999,0.05924
30/06/1999,0.05795
01/07/1999,0.05836
02/07/1999,0.05815
05/07/1999,0.05815
06/07/1999,0.0587
07/07/1999,0.0588
08/07/1999,0.05823
09/07/1999,0.05828
12/07/1999,0.05726
13/07/1999,0.05704
14/07/1999,0.0573
15/07/1999,0.05721
16/07/1999,0.05669
19/07/1999,0.05661
20/07/1999,0.05633
21/07/1999,0.05656
22/07/1999,0.05775
23/07/1999,0.05837
26/07/1999,0.05842
27/07/1999,0.05809
28/07/1999,0.05797
29/07/1999,0.05872
30/07/1999,0.05902
02/08/1999,0.05916
03/08/1999,0.05952
04/08/1999,0.05929
05/08/1999,0.05864
06/08/1999,0.06038
09/08/1999,0.06131
10/08/1999,0.06158
11/08/1999,0.061
12/08/1999,0.06067
13/08/1999,0.05979
16/08/1999,0.05966
17/08/1999,0.05883
18/08/1999,0.05858
19/08/1999,0.05895
20/08/1999,0.0587
23/08/1999,0.05887
24/08/1999,0.05818
25/08/1999,0.05717
26/08/1999,0.0575
27/08/1999,0.05845
30/08/1999,0.05955
31/08/1999,0.05974
01/09/1999,0.0597
02/09/1999,0.06008
03/09/1999,0.05884
06/09/1999,0.05884
07/09/1999,0.05947
08/09/1999,0.05917
09/09/1999,0.05966
10/09/1999,0.05894
13/09/1999,0.05899
14/09/1999,0.05959
15/09/1999,0.05919
16/09/1999,0.05892
17/09/1999,0.05869
20/09/1999,0.05906
21/09/1999,0.05927
22/09/1999,0.05915
23/09/1999,0.05796
24/09/1999,0.0575
27/09/1999,0.05822
28/09/1999,0.05885
29/09/1999,0.05959
30/09/1999,0.05879
01/10/1999,0.05978
04/10/1999,0.05931
05/10/1999,0.06037
06/10/1999,0.06033
07/10/1999,0.06041
08/10/1999,0.06035
11/10/1999,0.06036
12/10/1999,0.06054
13/10/1999,0.06108
14/10/1999,0.06164
15/10/1999,0.06078
18/10/1999,0.06123
19/10/1999,0.0617
20/10/1999,0.06175
21/10/1999,0.06188
22/10/1999,0.06188
25/10/1999,0.06205
26/10/1999,0.06231
27/10/1999,0.06183
28/10/1999,0.06123
29/10/1999,0.06018
01/11/1999,0.0605
02/11/1999,0.06024
03/11/1999,0.05999
04/11/1999,0.05947
05/11/1999,0.05909
08/11/1999,0.05937
09/11/1999,0.0596
10/11/1999,0.05977
11/11/1999,0.05986
12/11/1999,0.05924
15/11/1999,0.05919
16/11/1999,0.0596
17/11/1999,0.06033
18/11/1999,0.06054
19/11/1999,0.06055
22/11/1999,0.06089
23/11/1999,0.06078
24/11/1999,0.06082
25/11/1999,0.06082
26/11/1999,0.06117
29/11/1999,0.062
30/11/1999,0.06176
01/12/1999,0.06204
02/12/1999,0.06235
03/12/1999,0.06163
06/12/1999,0.06141
07/12/1999,0.06098
08/12/1999,0.06137
09/12/1999,0.06126
10/12/1999,0.06072
13/12/1999,0.061
14/12/1999,0.06203
15/12/1999,0.06234
16/12/1999,0.063
17/12/1999,0.06289
20/12/1999,0.06351
21/12/1999,0.06371
22/12/1999,0.06369
23/12/1999,0.06392
24/12/1999,0.06417
27/12/1999,0.06394
28/12/1999,0.06417
29/12/1999,0.06386
30/12/1999,0.06369
31/12/1999,0.06442
03/01/2000,0.06594
04/01/2000,0.06494
05/01/2000,0.06594
06/01/2000,0.06533
07/01/2000,0.06515
10/01/2000,0.06554
11/01/2000,0.06641
12/01/2000,0.067
13/01/2000,0.06632
14/01/2000,0.06679
17/01/2000,0.06679
18/01/2000,0.06739
19/01/2000,0.0673
20/01/2000,0.06783
21/01/2000,0.0677
24/01/2000,0.06687
25/01/2000,0.06691
26/01/2000,0.06664
27/01/2000,0.06678
28/01/2000,0.06637
31/01/2000,0.06663
01/02/2000,0.06614
02/02/2000,0.06566
03/02/2000,0.06439
04/02/2000,0.06536
07/02/2000,0.06638
08/02/2000,0.06609
09/02/2000,0.06636
10/02/2000,0.06678
11/02/2000,0.06596
14/02/2000,0.06556
15/02/2000,0.06556
16/02/2000,0.06541
17/02/2000,0.06567
18/02/2000,0.06491
21/02/2000,0.06491
22/02/2000,0.06354
23/02/2000,0.06418
24/02/2000,0.0635
25/02/2000,0.06331
28/02/2000,0.06422
29/02/2000,0.06409
01/03/2000,0.06384
02/03/2000,0.06384
03/03/2000,0.06383
06/03/2000,0.06409
07/03/2000,0.06371
08/03/2000,0.06379
09/03/2000,0.06347
10/03/2000,0.06379
13/03/2000,0.06366
14/03/2000,0.06294
15/03/2000,0.06281
16/03/2000,0.06243
17/03/2000,0.06194
20/03/2000,0.06182
21/03/2000,0.06137
22/03/2000,0.06118
23/03/2000,0.06083
24/03/2000,0.06191
27/03/2000,0.06187
28/03/2000,0.06153
29/03/2000,0.06157
30/03/2000,0.06053
31/03/2000,0.06009
03/04/2000,0.05967
04/04/2000,0.05862
05/04/2000,0.05874
06/04/2000,0.05923
07/04/2000,0.05847
10/04/2000,0.05773
11/04/2000,0.05875
12/04/2000,0.05933
13/04/2000,0.05922
14/04/2000,0.05858
17/04/2000,0.06003
18/04/2000,0.06043
19/04/2000,0.05984
20/04/2000,0.05986
21/04/2000,0.06
24/04/2000,0.05998
25/04/2000,0.06125
26/04/2000,0.06132
27/04/2000,0.06227
28/04/2000,0.06214
01/05/2000,0.06269
02/05/2000,0.06304
03/05/2000,0.06398
04/05/2000,0.06433
05/05/2000,0.06503
08/05/2000,0.06562
09/05/2000,0.06524
10/05/2000,0.06431
11/05/2000,0.06409
12/05/2000,0.06495
15/05/2000,0.0645
16/05/2000,0.06419
17/05/2000,0.06481
18/05/2000,0.06536
19/05/2000,0.06494
22/05/2000,0.06448
23/05/2000,0.06428
24/05/2000,0.06468
25/05/2000,0.06383
26/05/2000,0.06322
29/05/2000,0.06322
30/05/2000,0.06375
31/05/2000,0.06278
01/06/2000,0.06187
02/06/2000,0.06152
05/06/2000,0.06114
06/06/2000,0.06127
07/06/2000,0.06124
08/06/2000,0.06116
09/06/2000,0.0612
12/06/2000,0.06084
13/06/2000,0.06108
14/06/2000,0.0605
15/06/2000,0.06047
16/06/2000,0.05975
19/06/2000,0.06001
20/06/2000,0.0602
21/06/2000,0.06104
22/06/2000,0.06108
23/06/2000,0.06185
26/06/2000,0.061
27/06/2000,0.06089
28/06/2000,0.06102
29/06/2000,0.06031
30/06/2000,0.06025
03/07/2000,0.05993
04/07/2000,0.05993
05/07/2000,0.05979
06/07/2000,0.06044
07/07/2000,0.06003
10/07/2000,0.0603
11/07/2000,0.06048
12/07/2000,0.06075
13/07/2000,0.06001
14/07/2000,0.06101
17/07/2000,0.06148
18/07/2000,0.06146
19/07/2000,0.06158
20/07/2000,0.06004
21/07/2000,0.05994
24/07/2000,0.0603
25/07/2000,0.06019
26/07/2000,0.06025
27/07/2000,0.06002
28/07/2000,0.06033
31/07/2000,0.06036
01/08/2000,0.05986
02/08/2000,0.05974
03/08/2000,0.05952
04/08/2000,0.05898
07/08/2000,0.05956
08/08/2000,0.05918
09/08/2000,0.05913
10/08/2000,0.05767
11/08/2000,0.05787
14/08/2000,0.05773
15/08/2000,0.05802
16/08/2000,0.05835
17/08/2000,0.05802
18/08/2000,0.05773
21/08/2000,0.05783
22/08/2000,0.05777
23/08/2000,0.05727
24/08/2000,0.05721
25/08/2000,0.0572
28/08/2000,0.05773
29/08/2000,0.05806
30/08/2000,0.05796
31/08/2000,0.05729
01/09/2000,0.05685
04/09/2000,0.05685
05/09/2000,0.05689
06/09/2000,0.05727
07/09/2000,0.05754
08/09/2000,0.05735
11/09/2000,0.0577
12/09/2000,0.05768
13/09/2000,0.05731
14/09/2000,0.05787
15/09/2000,0.05833
18/09/2000,0.05871
19/09/2000,0.05854
20/09/2000,0.05899
21/09/2000,0.05869
22/09/2000,0.05848
25/09/2000,0.05839
26/09/2000,0.05804
27/09/2000,0.05823
28/09/2000,0.05812
29/09/2000,0.05783
02/10/2000,0.05829
03/10/2000,0.05856
04/10/2000,0.0589
05/10/2000,0.05859
06/10/2000,0.05821
09/10/2000,0.05821
10/10/2000,0.0581
11/10/2000,0.05774
12/10/2000,0.05712
