Dates,CPI
30/01/1999,0.0167
27/02/1999,0.0161
30/03/1999,0.0173
29/04/1999,0.0228
30/05/1999,0.0209
29/06/1999,0.0196
30/07/1999,0.0214
30/08/1999,0.0226
29/09/1999,0.0263
30/10/1999,0.0256
29/11/1999,0.0262
30/12/1999,0.0268
30/01/2000,0.0274
28/02/2000,0.0322
30/03/2000,0.0376
29/04/2000,0.0307
30/05/2000,0.0319
29/06/2000,0.0373
30/07/2000,0.0366
30/08/2000,0.0341
29/09/2000,0.0345
30/10/2000,0.0345
29/11/2000,0.0345
30/12/2000,0.0339
30/01/2001,0.0373
27/02/2001,0.0353
30/03/2001,0.0292
29/04/2001,0.0327
30/05/2001,0.0362
29/06/2001,0.0325
30/07/2001,0.0272
30/08/2001,0.0272
29/09/2001,0.0265
30/10/2001,0.0213
29/11/2001,0.019
30/12/2001,0.0155
30/01/2002,0.0114
27/02/2002,0.0114
30/03/2002,0.0148
29/04/2002,0.0164
30/05/2002,0.0118
29/06/2002,0.0107
30/07/2002,0.0146
30/08/2002,0.018
29/09/2002,0.0151
30/10/2002,0.0203
29/11/2002,0.022
30/12/2002,0.0238
30/01/2003,0.026
27/02/2003,0.0298
30/03/2003,0.0302
29/04/2003,0.0222
30/05/2003,0.0206
29/06/2003,0.0211
30/07/2003,0.0211
30/08/2003,0.0216
29/09/2003,0.0232
30/10/2003,0.0204
29/11/2003,0.0177
30/12/2003,0.0188
30/01/2004,0.0193
28/02/2004,0.0169
30/03/2004,0.0174
29/04/2004,0.0229
30/05/2004,0.0305
29/06/2004,0.0327
30/07/2004,0.0299
30/08/2004,0.0265
29/09/2004,0.0254
30/10/2004,0.0319
29/11/2004,0.0352
30/12/2004,0.0326
30/01/2005,0.0297
27/02/2005,0.0301
30/03/2005,0.0315
29/04/2005,0.0351
30/05/2005,0.028
29/06/2005,0.0253
30/07/2005,0.0317
30/08/2005,0.0364
29/09/2005,0.0469
30/10/2005,0.0435
29/11/2005,0.0346
30/12/2005,0.0342
30/01/2006,0.0399
27/02/2006,0.036
30/03/2006,0.0336
29/04/2006,0.0355
30/05/2006,0.0417
29/06/2006,0.0432
30/07/2006,0.0415
30/08/2006,0.0382
29/09/2006,0.0206
30/10/2006,0.0131
29/11/2006,0.0197
30/12/2006,0.0254
30/01/2007,0.0208
27/02/2007,0.0242
30/03/2007,0.0278
29/04/2007,0.0257
30/05/2007,0.0269
29/06/2007,0.0269
30/07/2007,0.0236
30/08/2007,0.0197
29/09/2007,0.0276
30/10/2007,0.0354
29/11/2007,0.0431
30/12/2007,0.0408
30/01/2008,0.0428
28/02/2008,0.0403
30/03/2008,0.0398
29/04/2008,0.0394
30/05/2008,0.0418
29/06/2008,0.0502
30/07/2008,0.056
30/08/2008,0.0537
29/09/2008,0.0494
30/10/2008,0.0366
29/11/2008,0.0107
30/12/2008,0.0009
30/01/2009,0.0003
27/02/2009,0.0024
30/03/2009,-0.0038
29/04/2009,-0.0074
30/05/2009,-0.0128
29/06/2009,-0.0143
30/07/2009,-0.021
30/08/2009,-0.0148
29/09/2009,-0.0129
30/10/2009,-0.0018
29/11/2009,0.0184
30/12/2009,0.0272
30/01/2010,0.0263
27/02/2010,0.0214
30/03/2010,0.0231
29/04/2010,0.0224
30/05/2010,0.0202
29/06/2010,0.0105
30/07/2010,0.0124
30/08/2010,0.0115
29/09/2010,0.0114
30/10/2010,0.0117
29/11/2010,0.0114
30/12/2010,0.015
30/01/2011,0.0163
27/02/2011,0.0211
30/03/2011,0.0268
29/04/2011,0.0316
30/05/2011,0.0357
29/06/2011,0.0356
30/07/2011,0.0363
30/08/2011,0.0377
29/09/2011,0.0387
30/10/2011,0.0353
29/11/2011,0.0339
30/12/2011,0.0296
30/01/2012,0.0293
28/02/2012,0.0287
30/03/2012,0.0265
29/04/2012,0.023
30/05/2012,0.017
29/06/2012,0.0166
30/07/2012,0.0141
30/08/2012,0.0169
29/09/2012,0.0199
30/10/2012,0.0216
29/11/2012,0.0176
30/12/2012,0.0174
30/01/2013,0.0159
27/02/2013,0.0198
30/03/2013,0.0147
29/04/2013,0.0106
30/05/2013,0.0136
